accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.4794520437717438,0.5371994972229004,0.8555837869644165,0.7727272510528564,0.4197530746459961,0.7181817889213562,0.6387824416160583,0.6633724570274353,0.7906976938247681,0.8395061492919922,0.0010000000474974513
0.5570776462554932,0.616796612739563,0.7275082468986511,0.8037382960319519,0.5308641791343689,0.6909090876579285,0.7239251136779785,0.6639506816864014,0.8051947951316833,0.7654321193695068,0.0010000000474974513
0.6073059439659119,0.6499350666999817,0.6717715263366699,0.8064516186714172,0.6172839403152466,0.7181817889213562,0.7013623118400574,0.6619738936424255,0.77173912525177,0.8765432238578796,0.0010000000474974513
0.655251145362854,0.6631741523742676,0.650627076625824,0.8191881775856018,0.6851851940155029,0.7272727489471436,0.7032780051231384,0.6494136452674866,0.7383177280426025,0.9753086566925049,0.0010000000474974513
0.698630154132843,0.6889755725860596,0.5886586308479309,0.8178808093070984,0.7623456716537476,0.7454545497894287,0.6817795038223267,0.6329872608184814,0.7431192398071289,1.0,0.0010000000474974513
0.7283105254173279,0.7047460675239563,0.5771712064743042,0.8153846263885498,0.8179012537002563,0.7454545497894287,0.6951894760131836,0.6175932884216309,0.7431192398071289,1.0,0.0010000000474974513
0.7054794430732727,0.6970705986022949,0.5470976233482361,0.7910447716712952,0.8179012537002563,0.7454545497894287,0.7149850726127625,0.6027722358703613,0.7431192398071289,1.0,0.0010000000474974513
0.7511415481567383,0.7298028469085693,0.5299538969993591,0.8171091675758362,0.854938268661499,0.7454545497894287,0.7335035800933838,0.5872644186019897,0.7431192398071289,1.0,0.0010000000474974513
0.7009132504463196,0.6933479309082031,0.5530545115470886,0.7846607565879822,0.8209876418113708,0.7454545497894287,0.7173265814781189,0.5728915929794312,0.7431192398071289,1.0,0.0010000000474974513
0.7420091032981873,0.7300736904144287,0.5186688303947449,0.797183096408844,0.8734567761421204,0.7454545497894287,0.7264794111251831,0.5611383318901062,0.7431192398071289,1.0,0.0010000000474974513
0.7488584518432617,0.7320771217346191,0.515813946723938,0.8039772510528564,0.8734567761421204,0.7454545497894287,0.7447850108146667,0.552139401435852,0.7431192398071289,1.0,0.0010000000474974513
0.7602739930152893,0.735826849937439,0.5190629363059998,0.8067227005958557,0.8888888955116272,0.7454545497894287,0.7752234935760498,0.5420613288879395,0.7431192398071289,1.0,0.0010000000474974513
0.7283105254173279,0.7392381429672241,0.5211244225502014,0.7808219194412231,0.8796296119689941,0.7454545497894287,0.7860791683197021,0.5327284932136536,0.7431192398071289,1.0,0.0010000000474974513
0.7625570893287659,0.7622374296188354,0.48829886317253113,0.8005464673042297,0.904321014881134,0.7363636493682861,0.7945934534072876,0.5228105783462524,0.7407407164573669,0.9876543283462524,0.0010000000474974513
0.7739726305007935,0.7815275192260742,0.4806077778339386,0.8082191944122314,0.9104938507080078,0.7363636493682861,0.7931034564971924,0.5150359869003296,0.7407407164573669,0.9876543283462524,0.0010000000474974513
0.77625572681427,0.7761803865432739,0.4773395359516144,0.8138889074325562,0.904321014881134,0.7363636493682861,0.7945934534072876,0.5056618452072144,0.7407407164573669,0.9876543283462524,0.0010000000474974513
0.7442922592163086,0.7681123614311218,0.49007683992385864,0.799435019493103,0.8734567761421204,0.7363636493682861,0.8086419701576233,0.49407729506492615,0.7407407164573669,0.9876543283462524,0.0010000000474974513
0.7602739930152893,0.7809725403785706,0.4911540150642395,0.8155619502067566,0.8734567761421204,0.7363636493682861,0.8107705116271973,0.4857061803340912,0.7407407164573669,0.9876543283462524,0.0010000000474974513
0.7557077407836914,0.7731888294219971,0.4826187491416931,0.7972602844238281,0.8981481194496155,0.7454545497894287,0.8229033946990967,0.4798448383808136,0.7476635575294495,0.9876543283462524,0.0010000000474974513
0.7602739930152893,0.7650530338287354,0.4949333071708679,0.7983651161193848,0.904321014881134,0.7454545497894287,0.830353319644928,0.4710545539855957,0.7476635575294495,0.9876543283462524,0.0010000000474974513
0.77625572681427,0.7884584069252014,0.4576234221458435,0.8021390438079834,0.9259259104728699,0.7454545497894287,0.8382290601730347,0.4621714949607849,0.7476635575294495,0.9876543283462524,0.0010000000474974513
0.7808219194412231,0.776085615158081,0.4774157404899597,0.8149171471595764,0.9104938507080078,0.7545454502105713,0.8382290601730347,0.45625510811805725,0.7547169923782349,0.9876543283462524,0.0010000000474974513
0.7625570893287659,0.7843432426452637,0.4643307030200958,0.7989130616188049,0.9074074029922485,0.7545454502105713,0.833759069442749,0.4521366357803345,0.7547169923782349,0.9876543283462524,0.0010000000474974513
0.7625570893287659,0.786725640296936,0.48330211639404297,0.8005464673042297,0.904321014881134,0.7636363506317139,0.8301404714584351,0.450321763753891,0.761904776096344,0.9876543283462524,0.0010000000474974513
0.7785388231277466,0.7953351736068726,0.4612327814102173,0.8075881004333496,0.9197530746459961,0.7545454502105713,0.8320561647415161,0.44700196385383606,0.7596153616905212,0.9753086566925049,0.0010000000474974513
0.7602739930152893,0.7887020111083984,0.4692182242870331,0.8067227005958557,0.8888888955116272,0.7545454502105713,0.833759069442749,0.44236573576927185,0.7596153616905212,0.9753086566925049,0.0010000000474974513
0.7557077407836914,0.7802008390426636,0.4725825786590576,0.8022283911705017,0.8888888955116272,0.7545454502105713,0.841421902179718,0.4368964731693268,0.7596153616905212,0.9753086566925049,0.0010000000474974513
0.7648401856422424,0.7918426394462585,0.47270330786705017,0.8027397394180298,0.904321014881134,0.7636363506317139,0.8401447534561157,0.43530985713005066,0.7669903039932251,0.9753086566925049,0.0010000000474974513
0.7922374606132507,0.814963698387146,0.4592759311199188,0.8174387216567993,0.9259259104728699,0.7636363506317139,0.8322690725326538,0.4392099976539612,0.7669903039932251,0.9753086566925049,0.0010000000474974513
0.7716894745826721,0.8040800094604492,0.45898911356925964,0.8027027249336243,0.9166666865348816,0.7545454502105713,0.8197104930877686,0.4465433955192566,0.7596153616905212,0.9753086566925049,0.0010000000474974513
0.7876712083816528,0.8199588656425476,0.4383871257305145,0.8290598392486572,0.8981481194496155,0.7636363506317139,0.8148148059844971,0.4488546550273895,0.7669903039932251,0.9753086566925049,0.0010000000474974513
0.7899543642997742,0.8346599340438843,0.4293564260005951,0.8101603984832764,0.9351851940155029,0.7636363506317139,0.8122605085372925,0.45086416602134705,0.7669903039932251,0.9753086566925049,0.0010000000474974513
0.7853881120681763,0.836054265499115,0.425171434879303,0.8125,0.9228395223617554,0.7727272510528564,0.8182204961776733,0.4476630687713623,0.7745097875595093,0.9753086566925049,0.0010000000474974513
0.810502290725708,0.8318849205970764,0.4279669225215912,0.835654616355896,0.9259259104728699,0.7818182110786438,0.8201361894607544,0.4443890452384949,0.7821782231330872,0.9753086566925049,0.0005000000237487257
0.7716894745826721,0.8247780203819275,0.44450774788856506,0.801075279712677,0.9197530746459961,0.7909091114997864,0.8243933916091919,0.43967899680137634,0.795918345451355,0.9629629850387573,0.0005000000237487257
0.7899543642997742,0.8259692192077637,0.4319950342178345,0.8295454382896423,0.9012345671653748,0.7818182110786438,0.8292890787124634,0.4345715641975403,0.7938144207000732,0.9506173133850098,0.0005000000237487257
0.810502290725708,0.8496588468551636,0.40763387084007263,0.8301370143890381,0.9351851940155029,0.7727272510528564,0.8316304683685303,0.4317396581172943,0.7916666865348816,0.9382715821266174,0.0005000000237487257
0.7990867495536804,0.8494828939437866,0.4070647358894348,0.8371428847312927,0.904321014881134,0.7818182110786438,0.8350361585617065,0.42982688546180725,0.7938144207000732,0.9506173133850098,0.0005000000237487257
0.801369845867157,0.8391542434692383,0.4221404492855072,0.8211382031440735,0.9351851940155029,0.7727272510528564,0.8341847658157349,0.43003371357917786,0.7916666865348816,0.9382715821266174,0.0005000000237487257
0.7945205569267273,0.8324398994445801,0.42087674140930176,0.8286516666412354,0.9104938507080078,0.7727272510528564,0.8312047719955444,0.4302832782268524,0.7978723645210266,0.9259259104728699,0.0005000000237487257
0.7785388231277466,0.8285954594612122,0.4310161769390106,0.8197183012962341,0.8981481194496155,0.7818182110786438,0.8322690725326538,0.4300333857536316,0.8064516186714172,0.9259259104728699,0.0005000000237487257
0.7694063782691956,0.8157758712768555,0.44236302375793457,0.8054794669151306,0.9074074029922485,0.7818182110786438,0.8290761709213257,0.4310455322265625,0.8064516186714172,0.9259259104728699,0.0005000000237487257
0.7831050157546997,0.845543622970581,0.4108404815196991,0.8243626356124878,0.8981481194496155,0.7727272510528564,0.8292890787124634,0.4314686059951782,0.804347813129425,0.9135802388191223,0.0005000000237487257
0.7853881120681763,0.8322774171829224,0.43067774176597595,0.8194444179534912,0.9104938507080078,0.7818182110786438,0.8252448439598083,0.43291112780570984,0.8064516186714172,0.9259259104728699,0.0002500000118743628
0.801369845867157,0.8352285027503967,0.4276786148548126,0.831932783126831,0.9166666865348816,0.7727272510528564,0.8233290910720825,0.4329272508621216,0.804347813129425,0.9135802388191223,0.0002500000118743628
0.7945205569267273,0.8419157266616821,0.41496315598487854,0.8381502628326416,0.895061731338501,0.7818182110786438,0.822690486907959,0.43305402994155884,0.8064516186714172,0.9259259104728699,0.0002500000118743628
0.8059360980987549,0.837489128112793,0.42125198245048523,0.8385269045829773,0.9135802388191223,0.7818182110786438,0.8250319361686707,0.4308815002441406,0.8064516186714172,0.9259259104728699,0.0002500000118743628
0.7648401856422424,0.8435131311416626,0.41633084416389465,0.8148148059844971,0.8827160596847534,0.7818182110786438,0.8237547874450684,0.4293994903564453,0.8064516186714172,0.9259259104728699,0.0002500000118743628
0.8173515796661377,0.8709524869918823,0.3978637158870697,0.840782105922699,0.9290123581886292,0.7727272510528564,0.826309084892273,0.42907291650772095,0.7978723645210266,0.9259259104728699,0.0002500000118743628
0.810502290725708,0.8542613983154297,0.4018884301185608,0.8433048725128174,0.9135802388191223,0.7636363506317139,0.8252447843551636,0.42972201108932495,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.7831050157546997,0.8212719559669495,0.43395620584487915,0.8225352168083191,0.9012345671653748,0.7727272510528564,0.8224776983261108,0.43023446202278137,0.804347813129425,0.9135802388191223,0.0002500000118743628
0.7922374606132507,0.8456383943557739,0.41269147396087646,0.8263305425643921,0.9104938507080078,0.7636363506317139,0.8235418796539307,0.4298912286758423,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.77625572681427,0.8162497282028198,0.4432782530784607,0.8284883499145508,0.8796296119689941,0.7545454502105713,0.8233290910720825,0.4290560781955719,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.8196346759796143,0.8621670007705688,0.3928110897541046,0.835616409778595,0.9413580298423767,0.7545454502105713,0.8243933320045471,0.4279782772064209,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.7853881120681763,0.8558858633041382,0.39812353253364563,0.8230336904525757,0.904321014881134,0.7545454502105713,0.8267347812652588,0.42702698707580566,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.7716894745826721,0.8328866362571716,0.42765912413597107,0.8199999928474426,0.8858024477958679,0.7636363506317139,0.8277990818023682,0.42484667897224426,0.7894737124443054,0.9259259104728699,0.0002500000118743628
0.8059360980987549,0.85813307762146,0.4055151343345642,0.8328690528869629,0.9228395223617554,0.7636363506317139,0.8290761709213257,0.4245081841945648,0.7894737124443054,0.9259259104728699,0.0002500000118743628
0.8287671208381653,0.8731859922409058,0.3861198127269745,0.848739504814148,0.9351851940155029,0.7545454502105713,0.8288633823394775,0.42464080452919006,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.801369845867157,0.8471003770828247,0.40924304723739624,0.831932783126831,0.9166666865348816,0.7545454502105713,0.8312047719955444,0.4244711995124817,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.8059360980987549,0.8424843549728394,0.4177221357822418,0.8443803787231445,0.904321014881134,0.7545454502105713,0.8352490663528442,0.4203509986400604,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.8127853870391846,0.8711284399032593,0.3888683617115021,0.8361111283302307,0.9290123581886292,0.7636363506317139,0.8382290601730347,0.4186664819717407,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.8127853870391846,0.8664446473121643,0.3913804888725281,0.84375,0.9166666865348816,0.7636363506317139,0.8373775482177734,0.4197346568107605,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.7945205569267273,0.8509719967842102,0.40771692991256714,0.8286516666412354,0.9104938507080078,0.7636363506317139,0.8343976736068726,0.42078065872192383,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.8173515796661377,0.8483864068984985,0.4087516665458679,0.8388888835906982,0.9320987462997437,0.7545454502105713,0.8320562243461609,0.4237028658390045,0.7872340679168701,0.9135802388191223,0.0002500000118743628
0.8036529421806335,0.861083984375,0.3880060017108917,0.834269642829895,0.9166666865348816,0.7636363506317139,0.8297147750854492,0.4257414638996124,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.801369845867157,0.8532868027687073,0.403432697057724,0.8356940746307373,0.9104938507080078,0.7636363506317139,0.8316304683685303,0.4243296682834625,0.7956989407539368,0.9135802388191223,0.0002500000118743628
0.7945205569267273,0.8540042042732239,0.4037266671657562,0.8286516666412354,0.9104938507080078,0.7636363506317139,0.833759069442749,0.42295119166374207,0.7956989407539368,0.9135802388191223,0.0001250000059371814
0.7990867495536804,0.8649691343307495,0.38466599583625793,0.8390804529190063,0.9012345671653748,0.7636363506317139,0.8354619145393372,0.4221363961696625,0.7956989407539368,0.9135802388191223,0.0001250000059371814
0.801369845867157,0.863290548324585,0.3923555016517639,0.8356940746307373,0.9104938507080078,0.7636363506317139,0.8354619741439819,0.4225054979324341,0.7956989407539368,0.9135802388191223,0.0001250000059371814
0.8036529421806335,0.864292323589325,0.3989560306072235,0.834269642829895,0.9166666865348816,0.7636363506317139,0.834397554397583,0.4233788251876831,0.7956989407539368,0.9135802388191223,0.0001250000059371814
0.8082191944122314,0.8709524869918823,0.38657015562057495,0.8468208312988281,0.904321014881134,0.7636363506317139,0.8335461616516113,0.4236887991428375,0.7956989407539368,0.9135802388191223,0.0001250000059371814
0.810502290725708,0.8662686347961426,0.39437171816825867,0.8394365906715393,0.9197530746459961,0.7636363506317139,0.833759069442749,0.4236767590045929,0.7956989407539368,0.9135802388191223,6.25000029685907e-05
0.7876712083816528,0.858430802822113,0.3976791203022003,0.8290598392486572,0.8981481194496155,0.7636363506317139,0.8343976140022278,0.4236905872821808,0.7956989407539368,0.9135802388191223,6.25000029685907e-05
0.7945205569267273,0.8550465106964111,0.39887169003486633,0.8342857360839844,0.9012345671653748,0.7636363506317139,0.8341847658157349,0.42382994294166565,0.7956989407539368,0.9135802388191223,6.25000029685907e-05
0.8059360980987549,0.8683803677558899,0.3794436752796173,0.8424068689346313,0.9074074029922485,0.7636363506317139,0.8322690725326538,0.424606055021286,0.7956989407539368,0.9135802388191223,6.25000029685907e-05
